Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0,-1.3598071,-0.0727812,2.53634674,1.37815522,-0.3383208,0.46238778,0.23959855,0.0986979,0.36378697,0.09079417,-0.5515995,-0.6178009,-0.9913898,-0.3111694,1.46817697,-0.4704005,0.20797124,0.02579058,0.40399296,0.2514121,-0.0183068,0.27783758,-0.1104739,0.06692807,0.12853936,-0.1891148,0.13355838,-0.0210531,149.62,0
0,1.19185711,0.26615071,0.16648011,0.44815408,0.06001765,-0.0823608,-0.078803,0.08510165,-0.2554251,-0.1669744,1.61272666,1.06523531,0.48909502,-0.1437723,0.63555809,0.46391704,-0.1148047,-0.1833613,-0.145783,-0.0690831,-0.2257752,-0.638672,0.10128802,-0.3398465,0.1671704,0.12589453,-0.0089831,0.01472417,2.69,0
1,-1.3583541,-1.3401631,1.77320934,0.37977959,-0.5031981,1.80049938,0.79146096,0.24767579,-1.5146543,0.20764287,0.62450146,0.06608369,0.71729273,-0.1659459,2.34586495,-2.8900832,1.10996938,-0.1213593,-2.2618571,0.52497973,0.24799815,0.7716794,0.90941226,-0.689281,-0.3276418,-0.1390966,-0.0553528,-0.0597518,378.66,0
1,-0.9662717,-0.185226,1.79299334,-0.8632913,-0.0103089,1.24720317,0.23760894,0.37743587,-1.3870241,-0.0549519,-0.2264873,0.17822823,0.50775687,-0.2879237,-0.6314181,-1.0596472,-0.6840928,1.965775,-1.232622,-0.2080378,-0.1083005,0.0052736,-0.1903205,-1.1755753,0.64737603,-0.2219288,0.06272285,0.06145763,123.5,0
2,-1.1582331,0.87773675,1.54871785,0.40303393,-0.4071934,0.09592146,0.59294075,-0.2705327,0.81773931,0.75307443,-0.8228429,0.53819555,1.34585159,-1.1196698,0.17512113,-0.4514492,-0.2370332,-0.0381948,0.80348692,0.40854236,-0.0094307,0.79827849,-0.1374581,0.14126698,-0.2060096,0.50229222,0.21942223,0.21515315,69.99,0
2,-0.4259659,0.96052304,1.14110934,-0.1682521,0.42098688,-0.0297276,0.47620095,0.26031433,-0.5686714,-0.3714072,1.34126198,0.35989384,-0.3580907,-0.1371337,0.51761681,0.4017259,-0.0581328,0.06865315,-0.0331938,0.08496767,-0.2082535,-0.5598248,-0.0263977,-0.3714266,-0.2327938,0.10591478,0.25384422,0.08108026,3.67,0
4,1.22965763,0.14100351,0.04537077,1.20261274,0.19188099,0.27270812,-0.005159,0.08121294,0.46495999,-0.0992543,-1.4169072,-0.1538258,-0.7510627,0.16737196,0.05014359,-0.4435868,0.00282051,-0.6119873,-0.045575,-0.2196326,-0.1677163,-0.2707097,-0.1541038,-0.7800554,0.75013694,-0.2572368,0.03450743,0.00516777,4.99,0
7,-0.6442694,1.41796355,1.07438038,-0.492199,0.94893409,0.42811846,1.12063136,-3.8078642,0.61537473,1.24937618,-0.6194678,0.29147435,1.75796421,-1.3238652,0.6861325,-0.076127,-1.2221273,-0.3582216,0.32450473,-0.1567419,1.94346534,-1.0154547,0.05750353,-0.649709,-0.4152666,-0.0516343,-1.2069211,-1.0853392,40.8,0
7,-0.8942861,0.2861572,-0.1131922,-0.2715261,2.66959866,3.72181806,0.37014513,0.85108444,-0.3920476,-0.4104304,-0.7051166,-0.1104523,-0.2862536,0.07435536,-0.3287831,-0.2100773,-0.499768,0.11876486,0.57032817,0.05273567,-0.0734251,-0.2680916,-0.2042327,1.0115918,0.37320468,-0.3841573,0.01174736,0.14240433,93.2,0
9,-0.3382618,1.11959338,1.04436655,-0.2221873,0.49936081,-0.2467611,0.65158321,0.06953859,-0.7367273,-0.3668456,1.01761447,0.83638957,1.00684351,-0.4435228,0.1502191,0.73945278,-0.5409799,0.47667726,0.45177296,0.20371145,-0.2469139,-0.6337526,-0.1207941,-0.3850499,-0.069733,0.09419883,0.2462193,0.08307565,3.68,0
